Year,Week,Most Volatile Stocks,Volatility Top Ten,Least Volatile Stocks,Volatility Bottom Ten
2013,13,AMD,3.4962269137829223,BRK.B,1.252099848063359
2013,13,UNP,3.447695857352045,BA,1.2552836251321344
2013,13,OMC,3.40842684666383,NI,1.2972396551331984
2013,13,JWN,3.386548929653549,LKQ,1.298539148224377
2013,13,AMZN,3.2629806790291735,HOG,1.3036076997368038
2013,13,UAA,3.2616026810126613,ETR,1.3129292661619716
2013,13,AIZ,3.2602128359171565,MCO,1.3290511732186345
2013,14,AMG,4.107171981090498,TAP,0.8862700462996849
2013,14,GWW,3.76983138797065,EXR,0.898487091090202
2013,14,KEY,3.6189656306156737,LRCX,1.018330621880525
2013,14,AMD,3.543323923378955,MDT,1.0184435774585001
2013,14,RL,3.521620459018169,PNR,1.0430901057971396
2013,14,IBM,3.4883346721580373,AMT,1.1250703523114995
2013,14,AZO,3.3574720944960093,DFS,1.1299516125112208
2013,14,DFS,3.334183469266133,BEN,1.1746226053086601
2013,14,PCLN,3.329157993333766,ORCL,1.198018383000852
2013,14,WU,3.236992838787965,KO,1.252046250226787
2013,15,AMZN,3.69452829815529,CF,1.2552269333107355
2013,15,CMG,3.5241241890747217,TXT,1.2597590846419984
2013,15,GOOGL,3.4994682877500716,IT,1.2825969571128844
2013,15,GE,3.406944208384773,RHT,1.2866302362740387
2013,15,AMD,3.3691382870013156,GILD,0.9809618312746927
2013,15,DRE,3.327894808086467,CTSH,1.0365446012702495
2013,15,GWW,3.2893877597257215,BEN,1.0799937785171783
2013,15,AMG,3.287184846589257,K,1.0855722750818413
2013,15,KSU,3.236633588589535,SO,1.118891257709346
2013,15,LNT,3.234473576384145,FIS,1.1327889659005204
2013,16,HBI,4.188178719190064,PKG,1.1382124962272198
2013,16,ISRG,4.03533102107195,EFX,1.1661370026582158
2013,16,CAT,3.8065451459278825,JEC,1.1714195788056736
